dataset,epsilon,ari,nmi
lfr_1000,0.2,0.138867,0.613472
lfr_10000,0.2,0.882071,0.982278
lfr_160000,0.2,0.839638,0.986849
lfr_2000,0.2,0.489345,0.868382
lfr_20000,0.2,0.847761,0.980325
lfr_40000,0.2,0.831627,0.982826
lfr_500,0.2,0.063528,0.317749
lfr_5000,0.2,0.540733,0.930972
lfr_80000,0.2,0.836921,0.984824
lfr_1000,0.4,0.914781,0.951821
lfr_10000,0.4,0.966166,0.987758
lfr_160000,0.4,0.953255,0.989181
lfr_2000,0.4,0.963274,0.982094
lfr_20000,0.4,0.946046,0.983013
lfr_40000,0.4,0.959450,0.988307
lfr_500,0.4,0.966304,0.978941
lfr_5000,0.4,0.952231,0.980904
lfr_80000,0.4,0.948409,0.986681
lfr_1000,0.6,0.877376,0.933521
lfr_10000,0.6,0.854688,0.960708
lfr_160000,0.6,0.897374,0.979316
lfr_2000,0.6,0.925437,0.965203
lfr_20000,0.6,0.899577,0.971959
lfr_40000,0.6,0.891498,0.974770
lfr_500,0.6,0.692443,0.886730
lfr_5000,0.6,0.932877,0.973685
lfr_80000,0.6,0.896140,0.976888
lfr_1000,0.8,1.000000,1.000000
lfr_10000,0.8,1.000000,1.000000
lfr_160000,0.8,0.922373,0.993755
lfr_2000,0.8,1.000000,1.000000
lfr_20000,0.8,1.000000,1.000000
lfr_40000,0.8,0.975610,0.997789
lfr_500,0.8,0.000000,0.000000
lfr_5000,0.8,0.913189,0.985429
lfr_80000,0.8,0.965789,0.997147
lfr_1000,1.0,0.000000,0.000000
lfr_10000,1.0,0.000000,0.000000
lfr_160000,1.0,0.000000,0.000000
lfr_2000,1.0,0.000000,0.000000
lfr_20000,1.0,0.000000,0.000000
lfr_40000,1.0,0.000000,0.000000
lfr_500,1.0,0.000000,0.000000
lfr_5000,1.0,0.000000,0.000000
lfr_80000,1.0,0.000000,0.000000
